Volatility 3 Framework 2.28.0
        |   PID |  PPID |  ImageFileName |      Offset(V) | Threads | Handles | SessionId | Wow64 |                     CreateTime |                       ExitTime |                                                                                                                           Audit |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Cmd |                                                                                                       Path
*       |     4 |     0 |         System | 0x8185656a9040 |     162 |       - |       N/A | False | 2026-04-09 17:29:11.000000 UTC |                            N/A |                                                                                                                               - |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             - |                                                                                                          -
**      |   448 |     4 |       smss.exe | 0x818568e19040 |       2 |       - |       N/A | False | 2026-04-09 17:29:11.000000 UTC |                            N/A |                                                                               \Device\HarddiskVolume3\Windows\System32\smss.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             - |                                                                                                          -
**      |   124 |     4 |       Registry | 0x818565745080 |       4 |       - |       N/A | False | 2026-04-09 17:29:06.000000 UTC |                            N/A |                                                                                                                        Registry |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             - |                                                                                                          -
**      |  2652 |     4 | MemCompression | 0x81856a208040 |      62 |       - |       N/A | False | 2026-04-09 17:29:13.000000 UTC |                            N/A |                                                                                                                  MemCompression |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             - |                                                                                                          -
*       |   640 |   608 |      csrss.exe | 0x818569397080 |      12 |       - |         0 | False | 2026-04-09 17:29:11.000000 UTC |                            N/A |                                                                              \Device\HarddiskVolume3\Windows\System32\csrss.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16 |                                                                              C:\WINDOWS\system32\csrss.exe
*       |   712 |   608 |    wininit.exe | 0x818569811140 |       2 |       - |         0 | False | 2026-04-09 17:29:12.000000 UTC |                            N/A |                                                                            \Device\HarddiskVolume3\Windows\System32\wininit.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             - |                                                                                                          -
**      |   880 |   712 |      lsass.exe | 0x8185694b9080 |      11 |       - |         0 | False | 2026-04-09 17:29:12.000000 UTC |                            N/A |                                                                              \Device\HarddiskVolume3\Windows\System32\lsass.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 C:\WINDOWS\system32\lsass.exe |                                                                              C:\WINDOWS\system32\lsass.exe
**      |   480 |   712 | fontdrvhost.ex | 0x8185699a1180 |       5 |       - |         0 | False | 2026-04-09 17:29:12.000000 UTC |                            N/A |                                                                        \Device\HarddiskVolume3\Windows\System32\fontdrvhost.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             "fontdrvhost.exe" |                                                                        C:\WINDOWS\system32\fontdrvhost.exe
**      |   860 |   712 |   services.exe | 0x8185693e4140 |       8 |       - |         0 | False | 2026-04-09 17:29:12.000000 UTC |                            N/A |                                                                           \Device\HarddiskVolume3\Windows\System32\services.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              C:\WINDOWS\system32\services.exe |                                                                           C:\WINDOWS\system32\services.exe
***     |  3588 |   860 |   vmtoolsd.exe | 0x818565816080 |      13 |       - |         0 | False | 2026-04-09 17:29:14.000000 UTC |                            N/A |                                                          \Device\HarddiskVolume3\Program Files\VMware\VMware Tools\vmtoolsd.exe |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           "C:\Program Files\VMware\VMware Tools\vmtoolsd.exe" |                                                          C:\Program Files\VMware\VMware Tools\vmtoolsd.exe
